,Pareto number,Solar ($),Wind ($),CHP ($),Boilers ($),Battery ($),Operating Cost ($),Operating Emissions (kg CO2),Total Capital Cost ($)
0,0,3902.200853333334,0.0,0,81760.73374711248,0.0,6230390.480194074,261597506.39207187,85662.93460044544
0,1,1718139.035722667,106550.28,0,81760.73374711248,30176.847,5694427.534301549,208227307.46905243,1936626.8964697793
0,2,282519.3417813334,17048.0448,0,81760.73374711248,0.0,6140109.750604254,252618519.5421294,381328.1203284459
0,3,1718139.035722667,0.0,0,81760.73374711248,30176.847,5694849.064745833,208268767.01311705,1830076.616469779
0,4,473336.9635093334,17048.0448,0,81760.73374711248,0.0,6078311.399611057,246472248.71397507,572145.7420564461
0,5,450704.1985600001,0.0,0,81760.73374711248,0.0,6085688.819893028,247205931.54905173,532464.932307113
0,6,1618242.6938773335,0.0,0,81760.73374711248,30176.847,5722436.249514413,211027895.5133589,1730180.2746244464
0,7,234132.05120000002,0.0,0,81760.73374711248,0.0,6155828.052615368,254181760.40309206,315892.7849471122
0,8,663764.3651520001,0.0,0,81760.73374711248,0.0,6016686.980133753,240343224.243996,745525.098899113
0,9,1595219.7088426668,0.0,0,81760.73374711248,0.0,5729903.737672891,211770524.35700727,1676980.4425897794
0,10,783561.9313493335,0.0,0,81760.73374711248,0.0,5977889.242393646,236484522.5175267,865322.6650964459
0,11,382415.6836266667,17048.0448,0,81760.73374711248,0.0,6107757.239654849,249400839.9265722,481224.4621737795
0,12,71020.05553066668,0.0,0,81760.73374711248,0.0,6208653.636899941,259435627.90036917,152780.78927777894
0,13,1318943.8884266668,0.0,0,81760.73374711248,0.0,5810426.480462586,219814799.26757857,1400704.6221737796
0,14,1371233.3798613334,0.0,0,81760.73374711248,0.0,5794868.272727996,218258354.98227116,1452994.113608446
0,15,335199.0533013334,0.0,0,81760.73374711248,0.0,6123096.410678277,250926373.60453987,416959.787048446
0,16,713322.3159893334,0.0,0,81760.73374711248,0.0,6000637.101654947,238746953.49721548,795083.0497364458
0,17,1653362.5015573334,17048.0448,0,81760.73374711248,30176.847,5712596.69951444,210045594.28810978,1782348.1271044463
0,18,995061.2176000002,17048.0448,0,81760.73374711248,0.0,5909422.244215346,229674979.74338856,1093869.996147113
0,19,736735.5211093334,0.0,0,81760.73374711248,0.0,5993054.481901177,237992809.83731923,818496.2548564458
0,20,114334.48500266668,17048.0448,0,81760.73374711248,0.0,6194578.235835479,258035784.83238423,213143.26354977954
0,21,16779.463669333334,0.0,0,81760.73374711248,0.0,6226220.039329502,261182727.37912887,98540.19741644617
0,22,546308.1194666667,0.0,0,81760.73374711248,0.0,6054726.45589848,244126511.60447538,628068.8532137787
0,23,1502737.5486186668,0.0,0,81760.73374711248,0.0,5755925.914190438,214364983.47707927,1584498.2823657794
0,24,1206560.5038506668,0.0,0,81760.73374711248,0.0,5844365.522030026,223200995.0817093,1288321.2375977794
0,25,615767.2946560001,17048.0448,0,81760.73374711248,0.0,6032183.796108975,241884541.44960615,714576.0732031129
0,26,920138.9612160001,0.0,0,81760.73374711248,0.0,5933657.29383001,232085351.16813207,1001899.6949631125
0,27,371879.74132266676,0.0,0,81760.73374711248,0.0,6111216.973064043,249744881.87070245,453640.475069779
0,28,952527.2282986668,17048.0448,0,81760.73374711248,0.0,5923120.448650634,231037441.8080985,1051336.0068457797
0,29,1460983.9994880003,0.0,0,81760.73374711248,0.0,5768163.886317877,215586846.13435537,1542744.7332351133
0,30,164672.8760106667,0.0,0,81760.73374711248,0.0,6178323.157884878,256419053.26078427,246433.60975777917
0,31,1048911.589376,0.0,0,81760.73374711248,0.0,5892665.880060757,228007717.8182533,1130672.3231231123
0,32,867459.249696,0.0,0,81760.73374711248,0.0,5950718.188275983,233782174.40289843,949219.9834431121
0,33,822193.7197973335,0.0,0,81760.73374711248,0.0,5965377.919799933,235240185.47869787,903954.4535444463
0,34,583769.2476586667,0.0,0,81760.73374711248,0.0,6042594.264292455,242919881.7486414,665529.9814057788
0,35,1544100.8776640003,17048.0448,0,81760.73374711248,0.0,5744222.065485054,213198175.1632209,1642909.6562111126
0,36,1398548.7858346668,0.0,0,81760.73374711248,0.0,5786740.85077709,217445287.0720359,1480309.5195817798
0,37,1252216.2538346667,0.0,0,81760.73374711248,0.0,5830377.547055782,221808949.1406806,1333976.9875817792
0,38,1062179.0722773336,0.0,0,81760.73374711248,0.0,5888600.99844431,227603191.647356,1143939.8060244462
0,39,1421571.7708693333,0.0,0,81760.73374711248,0.0,5779890.595132754,216759986.97626626,1503332.5046164459
0,40,1082470.5167146667,17048.0448,0,81760.73374711248,0.0,5882338.488153562,226980016.3844772,1181279.2952617798
0,41,893213.7753280001,17048.0448,0,81760.73374711248,0.0,5942329.752026841,232947939.0798356,992022.5538751129
0,42,977891.5338453334,0.0,0,81760.73374711248,0.0,5914953.498437382,230225130.1403879,1059652.267592446
0,43,1528882.294336,0.0,0,81760.73374711248,0.0,5748543.991544783,213629025.32885796,1610643.028083112
0,44,815559.9783466668,0.0,0,81760.73374711248,0.0,5967526.328730166,235453859.51566848,897320.7120937789
0,45,1444204.535818667,0.0,0,81760.73374711248,0.0,5773156.445516293,216086302.1363571,1525965.2695657797
0,46,551771.2006613333,0.0,0,81760.73374711248,0.0,6052957.177955934,243950544.75049967,633531.9344084458
0,47,1107444.6021760001,0.0,0,81760.73374711248,0.0,5874732.578811723,226223043.53488302,1189205.335923113
0,48,1289287.1619413334,0.0,0,81760.73374711248,0.0,5819250.538580711,220697558.71297675,1371047.8956884462
0,49,875653.8714880001,0.0,0,81760.73374711248,0.0,5948064.271362163,233518224.1219348,957414.6052351128
