Number,Rated Power kW,Swept Area m^2,Cut-in Speed,Height,Company ,Investment Cost
0,0,0,2.5,5,0,0
1,1.6,8,2.4,5,Osiris Energy ,10000
2,3.2,16,2.4,5,Osiris Energy ,10000
3,4.8,24,2.4,5,Osiris Energy ,10000
4,6.4,32,2.4,5,Osiris Energy ,10000
5,8,40,2.4,5,Osiris Energy ,10000
6,9.6,48,2.4,5,Osiris Energy ,10000
7,10,73.9,2.5,13,Osiris Energy ,10000
8,20,147.8,2.5,13,Osiris Energy ,10000
9,30,221.7,2.5,13,Osiris Energy ,10000
10,40,295.6,2.5,13,Osiris Energy ,10000
11,50,369.5,2.5,13,Osiris Energy ,10000
12,60,443.4,2.5,13,Osiris Energy ,10000
13,70,517.3,2.5,13,Osiris Energy ,10000
14,80,591.2,2.5,13,Osiris Energy ,10000
15,90,665.1,2.5,13,Osiris Energy ,10000
16,100,739,2.5,13,Osiris Energy ,10000
17,50,290,3.5,40,Endurance,4000
18,100,580,3.5,40,Endurance,4000
19,150,870,3.5,40,Endurance,4000
20,200,1160,3.5,40,Endurance,4000
21,250,1450,3.5,40,Endurance,4000
22,300,1740,3.5,40,Endurance,4000
23,350,2030,3.5,40,Endurance,4000
24,400,2320,3.5,40,Endurance,4000
25,450,2610,3.5,40,Endurance,4000
26,500,2900,3.5,40,Endurance,4000
27,85,434,4,30,Endurance,4000
28,170,868,4,30,Endurance,4000
29,255,1302,4,30,Endurance,4000
30,340,1736,4,30,Endurance,4000
31,425,2170,4,30,Endurance,4000
32,510,2604,4,30,Endurance,4000
33,595,3038,4,30,Endurance,4000
34,680,3472,4,30,Endurance,4000
35,765,3906,4,30,Endurance,4000
36,850,4340,4,30,Endurance,4000
37,225,664,4,35,Endurance,4000
38,450,1328,4,35,Endurance,4000
39,675,1992,4,35,Endurance,4000
40,900,2656,4,35,Endurance,4000
41,1125,3320,4,35,Endurance,4000
42,1350,3984,4,35,Endurance,4000
43,1575,4648,4,35,Endurance,4000
44,1800,5312,4,35,Endurance,4000
45,2025,5976,4,35,Endurance,4000
46,2250,6640,4,35,Endurance,4000
47,2475,7304,4,35,Endurance,4000
48,2700,7968,4,35,Endurance,4000
49,2925,8632,4,35,Endurance,4000
50,3150,9296,4,35,Endurance,4000
