,Pareto number,Cost ($),Emission (kg CO2)
0,0,9065204.862,397159396.2
0,1,6314470.356,516486486.3
0,2,8552956.473,398178243.2
0,3,7980613.424,398440359.4
0,4,8946158.289,397652360.6
0,5,7699825.484,399713195.7
0,6,6427922.885,504813276.3
0,7,6372515.836,510514146.3
0,8,6787242.395,471320821
0,9,7174948.047,429391653.2
0,10,7534563.995,401734709.3
0,11,7249507.071,422568004
0,12,6960622.082,450003483.3
0,13,6530144.693,496034693.1
0,14,6818410.657,464635716.3
0,15,6732133.967,473512785.3
0,16,7291446.521,418729701.3
0,17,7482494.43,405206271.6
0,18,6466180.133,500876961.3
0,19,7345175.704,413904242
0,20,6482010.718,499248141.3
0,21,6579104.975,489258045.3
0,22,7316665.015,416421702.3
0,23,7075305.834,438841592.1
0,24,6869974.592,461069357.1
0,25,7890065.513,398770193.3
0,26,7044179.388,441796776.3
0,27,6885954.488,457686084.3
0,28,6339535.45,513907521.3
0,29,7796082.721,399102475.3
0,30,7388534.579,411671351.5
0,31,6687922.86,479800787.1
0,32,7001798.017,445855258.5
0,33,7026044.851,443518492.3
0,34,7511384.357,402845908.1
0,35,6915883.29,456345779.1
0,36,7254989.352,422066265.1
0,37,8976248.346,397477081.2
0,38,6684194.279,483662603.8
0,39,7394819.604,409721248.8
0,40,6934501.616,452691036.3
0,41,7127814.794,433856324.8
0,42,7441954.806,407999238.7
0,43,6615779.164,485484612.3
0,44,6549290.706,492325656.3
0,45,6650193.299,483682808.1
0,46,7144325.344,432288792.3
0,47,6545596.903,492705714.3
0,48,6924739.422,453695475.3
0,49,7118021.397,436390659.3
